date,number_of_checks-no_verification,count-nombre
2021-03-22,1-6,<20
2021-03-22,7-12,<20
2021-03-22,13-30,<20
2021-03-22,30+,<20
2021-03-23,0,<20
2021-03-23,1-6,<20
2021-03-23,7-12,<20
2021-03-23,13-30,<20
2021-03-23,30+,<20
2021-03-24,0,<20
2021-03-24,1-6,<20
2021-03-24,7-12,<20
2021-03-24,13-30,<20
2021-03-24,30+,<20
2021-03-25,0,<20
2021-03-25,1-6,<20
2021-03-25,7-12,<20
2021-03-25,13-30,<20
2021-03-25,30+,<20
2021-03-26,0,<20
2021-03-26,1-6,<20
2021-03-26,7-12,<20
2021-03-26,13-30,<20
2021-03-26,30+,<20
2021-03-27,0,<20
2021-03-27,1-6,<20
2021-03-27,7-12,<20
2021-03-27,13-30,<20
2021-03-27,30+,<20
2021-03-28,0,<20
2021-03-28,1-6,<20
2021-03-28,7-12,<20
2021-03-28,13-30,<20
2021-03-28,30+,<20
2021-03-29,0,<20
2021-03-29,1-6,<20
2021-03-29,7-12,<20
2021-03-29,13-30,<20
2021-03-29,30+,<20
2021-03-30,0,<20
2021-03-30,1-6,<20
2021-03-30,7-12,<20
2021-03-30,13-30,<20
2021-03-30,30+,<20
2021-03-31,0,<20
2021-03-31,1-6,<20
2021-03-31,7-12,<20
2021-03-31,13-30,<20
2021-03-31,30+,<20
2021-04-01,0,<20
2021-04-01,1-6,<20
2021-04-01,7-12,<20
2021-04-01,13-30,<20
2021-04-01,30+,<20
2021-04-02,0,<20
2021-04-02,1-6,<20
2021-04-02,7-12,<20
2021-04-02,13-30,<20
2021-04-02,30+,<20
2021-04-03,0,<20
2021-04-03,1-6,<20
2021-04-03,7-12,<20
2021-04-03,13-30,<20
2021-04-03,30+,<20
2021-04-04,0,<20
2021-04-04,1-6,<20
2021-04-04,7-12,<20
2021-04-04,13-30,<20
2021-04-04,30+,<20
2021-04-05,0,<20
2021-04-05,1-6,<20
2021-04-05,7-12,<20
2021-04-05,13-30,<20
2021-04-05,30+,<20
2021-04-06,0,<20
2021-04-06,1-6,<20
2021-04-06,7-12,<20
2021-04-06,13-30,<20
2021-04-06,30+,<20
2021-04-07,0,<20
2021-04-07,1-6,<20
2021-04-07,7-12,<20
2021-04-07,13-30,<20
2021-04-07,30+,<20
2021-04-08,0,<20
2021-04-08,1-6,<20
2021-04-08,7-12,<20
2021-04-08,13-30,<20
2021-04-08,30+,<20
2021-04-09,0,<20
2021-04-09,1-6,<20
2021-04-09,7-12,<20
2021-04-09,13-30,<20
2021-04-09,30+,<20
2021-04-10,0,<20
2021-04-10,1-6,<20
2021-04-10,7-12,<20
2021-04-10,13-30,<20
2021-04-10,30+,<20
2021-04-11,0,<20
2021-04-11,1-6,<20
2021-04-11,7-12,<20
2021-04-11,13-30,<20
2021-04-11,30+,<20
2021-04-12,0,<20
2021-04-12,1-6,<20
2021-04-12,7-12,<20
2021-04-12,13-30,<20
2021-04-12,30+,<20
2021-04-13,0,<20
2021-04-13,1-6,<20
2021-04-13,7-12,<20
2021-04-13,13-30,<20
2021-04-13,30+,<20
2021-04-14,0,<20
2021-04-14,1-6,<20
2021-04-14,7-12,<20
2021-04-14,13-30,<20
2021-04-14,30+,<20
2021-04-15,0,<20
2021-04-15,1-6,<20
2021-04-15,7-12,<20
2021-04-15,13-30,<20
2021-04-15,30+,<20
2021-04-16,0,<20
2021-04-16,1-6,<20
2021-04-16,7-12,<20
2021-04-16,13-30,<20
2021-04-16,30+,<20
2021-04-17,0,<20
2021-04-17,1-6,<20
2021-04-17,7-12,<20
2021-04-17,13-30,<20
2021-04-17,30+,<20
2021-04-18,0,<20
2021-04-18,1-6,<20
2021-04-18,7-12,<20
2021-04-18,13-30,<20
2021-04-18,30+,<20
2021-04-19,0,<20
2021-04-19,1-6,<20
2021-04-19,7-12,<20
2021-04-19,13-30,<20
2021-04-19,30+,<20
2021-04-20,0,<20
2021-04-20,1-6,<20
2021-04-20,7-12,<20
2021-04-20,13-30,<20
2021-04-20,30+,<20
2021-04-21,0,<20
2021-04-21,1-6,<20
2021-04-21,7-12,<20
2021-04-21,13-30,<20
2021-04-21,30+,<20
2021-04-22,0,<20
2021-04-22,1-6,<20
2021-04-22,7-12,<20
2021-04-22,13-30,<20
2021-04-22,30+,<20
2021-04-23,0,<20
2021-04-23,1-6,<20
2021-04-23,7-12,<20
2021-04-23,13-30,<20
2021-04-23,30+,<20
2021-04-24,0,<20
2021-04-24,1-6,<20
2021-04-24,7-12,<20
2021-04-24,13-30,<20
2021-04-24,30+,<20
2021-04-25,0,<20
2021-04-25,1-6,<20
2021-04-25,7-12,<20
2021-04-25,13-30,<20
2021-04-25,30+,<20
2021-04-26,0,<20
2021-04-26,1-6,<20
2021-04-26,7-12,<20
2021-04-26,13-30,<20
2021-04-26,30+,<20
2021-04-27,0,<20
2021-04-27,1-6,<20
2021-04-27,7-12,<20
2021-04-27,13-30,<20
2021-04-27,30+,<20
2021-04-28,0,<20
2021-04-28,1-6,<20
2021-04-28,7-12,<20
2021-04-28,13-30,<20
2021-04-28,30+,<20
2021-04-29,0,<20
2021-04-29,1-6,<20
2021-04-29,7-12,<20
2021-04-29,13-30,<20
2021-04-29,30+,<20
2021-04-30,0,<20
2021-04-30,1-6,<20
2021-04-30,7-12,<20
2021-04-30,13-30,<20
2021-04-30,30+,<20
2021-05-01,0,<20
2021-05-01,1-6,<20
2021-05-01,7-12,<20
2021-05-01,13-30,<20
2021-05-01,30+,<20
2021-05-02,0,<20
2021-05-02,1-6,<20
2021-05-02,7-12,<20
2021-05-02,13-30,<20
2021-05-02,30+,<20
2021-05-03,0,<20
2021-05-03,1-6,<20
2021-05-03,7-12,<20
2021-05-03,13-30,<20
2021-05-03,30+,<20
2021-05-04,0,<20
2021-05-04,1-6,<20
2021-05-04,7-12,<20
2021-05-04,13-30,<20
2021-05-04,30+,<20
2021-05-05,0,<20
2021-05-05,1-6,<20
2021-05-05,7-12,<20
2021-05-05,13-30,<20
2021-05-05,30+,<20
2021-05-06,0,<20
2021-05-06,1-6,<20
2021-05-06,7-12,<20
2021-05-06,13-30,<20
2021-05-06,30+,<20
2021-05-07,0,<20
2021-05-07,1-6,<20
2021-05-07,7-12,<20
2021-05-07,13-30,<20
2021-05-07,30+,<20
2021-05-08,0,<20
2021-05-08,1-6,<20
2021-05-08,7-12,<20
2021-05-08,13-30,<20
2021-05-08,30+,<20
2021-05-09,0,<20
2021-05-09,1-6,<20
2021-05-09,7-12,<20
2021-05-09,13-30,<20
2021-05-09,30+,<20
2021-05-10,0,<20
2021-05-10,1-6,<20
2021-05-10,7-12,<20
2021-05-10,13-30,<20
2021-05-10,30+,<20
2021-05-11,0,<20
2021-05-11,1-6,<20
2021-05-11,7-12,<20
2021-05-11,13-30,<20
2021-05-11,30+,<20
2021-05-12,0,<20
2021-05-12,1-6,<20
2021-05-12,7-12,<20
2021-05-12,13-30,<20
2021-05-12,30+,<20
2021-05-13,0,<20
2021-05-13,1-6,<20
2021-05-13,7-12,<20
2021-05-13,13-30,<20
2021-05-13,30+,<20
2021-05-14,0,<20
2021-05-14,1-6,<20
2021-05-14,7-12,<20
2021-05-14,13-30,<20
2021-05-14,30+,<20
2021-05-15,0,<20
2021-05-15,1-6,<20
2021-05-15,7-12,<20
2021-05-15,13-30,<20
2021-05-15,30+,<20
2021-05-16,0,<20
2021-05-16,1-6,<20
2021-05-16,7-12,<20
2021-05-16,13-30,<20
2021-05-16,30+,<20
2021-05-17,0,<20
2021-05-17,1-6,<20
2021-05-17,7-12,<20
2021-05-17,13-30,<20
2021-05-17,30+,<20
2021-05-18,0,<20
2021-05-18,1-6,<20
2021-05-18,7-12,<20
2021-05-18,13-30,<20
2021-05-18,30+,<20
2021-05-19,0,<20
2021-05-19,1-6,<20
2021-05-19,7-12,<20
2021-05-19,13-30,<20
2021-05-19,30+,<20
2021-05-20,0,<20
2021-05-20,1-6,<20
2021-05-20,7-12,<20
2021-05-20,13-30,<20
2021-05-20,30+,<20
2021-05-21,0,<20
2021-05-21,1-6,<20
2021-05-21,7-12,<20
2021-05-21,13-30,<20
2021-05-21,30+,<20
2021-05-22,0,<20
2021-05-22,1-6,<20
2021-05-22,7-12,<20
2021-05-22,13-30,<20
2021-05-22,30+,<20
2021-05-23,0,<20
2021-05-23,1-6,<20
2021-05-23,7-12,<20
2021-05-23,13-30,<20
2021-05-23,30+,<20
2021-05-24,0,<20
2021-05-24,1-6,<20
2021-05-24,7-12,<20
2021-05-24,13-30,<20
2021-05-24,30+,<20
2021-05-25,0,<20
2021-05-25,1-6,<20
2021-05-25,7-12,<20
2021-05-25,13-30,<20
2021-05-25,30+,<20
2021-05-26,0,<20
2021-05-26,1-6,<20
2021-05-26,7-12,<20
2021-05-26,13-30,<20
2021-05-26,30+,<20
2021-05-27,0,<20
2021-05-27,1-6,<20
2021-05-27,7-12,<20
2021-05-27,13-30,<20
2021-05-27,30+,<20
2021-05-28,0,<20
2021-05-28,1-6,<20
2021-05-28,7-12,<20
2021-05-28,13-30,<20
2021-05-28,30+,<20
2021-05-29,0,<20
2021-05-29,1-6,<20
2021-05-29,7-12,<20
2021-05-29,13-30,<20
2021-05-29,30+,<20
2021-05-30,0,<20
2021-05-30,1-6,<20
2021-05-30,7-12,<20
2021-05-30,13-30,<20
2021-05-30,30+,<20
2021-05-31,0,<20
2021-05-31,1-6,<20
2021-05-31,7-12,<20
2021-05-31,13-30,<20
2021-05-31,30+,<20
2021-06-01,0,<20
2021-06-01,1-6,<20
2021-06-01,7-12,<20
2021-06-01,13-30,<20
2021-06-01,30+,<20
2021-06-02,0,<20
2021-06-02,1-6,<20
2021-06-02,7-12,<20
2021-06-02,13-30,<20
2021-06-02,30+,<20
2021-06-03,0,<20
2021-06-03,1-6,<20
2021-06-03,7-12,<20
2021-06-03,13-30,<20
2021-06-03,30+,<20
2021-06-04,0,<20
2021-06-04,1-6,<20
2021-06-04,7-12,<20
2021-06-04,13-30,<20
2021-06-04,30+,<20
2021-06-05,0,<20
2021-06-05,1-6,<20
2021-06-05,7-12,<20
2021-06-05,13-30,<20
2021-06-05,30+,<20
2021-06-06,0,<20
2021-06-06,1-6,<20
2021-06-06,7-12,<20
2021-06-06,13-30,<20
2021-06-06,30+,<20
2021-06-07,0,<20
2021-06-07,1-6,<20
2021-06-07,7-12,<20
2021-06-07,13-30,<20
2021-06-07,30+,<20
2021-06-08,0,<20
2021-06-08,1-6,<20
2021-06-08,7-12,<20
2021-06-08,13-30,<20
2021-06-08,30+,<20
2021-06-09,0,<20
2021-06-09,1-6,<20
2021-06-09,7-12,<20
2021-06-09,13-30,<20
2021-06-09,30+,<20
2021-06-10,0,<20
2021-06-10,1-6,<20
2021-06-10,7-12,<20
2021-06-10,13-30,<20
2021-06-10,30+,<20
2021-06-11,0,<20
2021-06-11,1-6,<20
2021-06-11,7-12,<20
2021-06-11,13-30,<20
2021-06-11,30+,<20
2021-06-12,0,<20
2021-06-12,1-6,<20
2021-06-12,7-12,<20
2021-06-12,13-30,<20
2021-06-12,30+,<20
2021-06-13,0,<20
2021-06-13,1-6,<20
2021-06-13,7-12,<20
2021-06-13,13-30,<20
2021-06-13,30+,<20
2021-06-14,0,<20
2021-06-14,1-6,<20
2021-06-14,7-12,<20
2021-06-14,13-30,<20
2021-06-14,30+,<20
2021-06-15,0,<20
2021-06-15,1-6,<20
2021-06-15,7-12,<20
2021-06-15,13-30,<20
2021-06-15,30+,<20
2021-06-16,0,<20
2021-06-16,1-6,<20
2021-06-16,7-12,<20
2021-06-16,13-30,<20
2021-06-16,30+,<20
2021-06-17,0,<20
2021-06-17,1-6,<20
2021-06-17,7-12,<20
2021-06-17,13-30,<20
2021-06-17,30+,<20
2021-06-18,0,<20
2021-06-18,1-6,<20
2021-06-18,7-12,<20
2021-06-18,13-30,<20
2021-06-18,30+,<20
2021-06-19,0,<20
2021-06-19,1-6,<20
2021-06-19,7-12,<20
2021-06-19,13-30,<20
2021-06-19,30+,<20
2021-06-20,0,<20
2021-06-20,1-6,<20
2021-06-20,7-12,<20
2021-06-20,13-30,<20
2021-06-20,30+,<20
2021-06-21,0,<20
2021-06-21,1-6,<20
2021-06-21,7-12,<20
2021-06-21,13-30,<20
2021-06-21,30+,<20
2021-06-22,0,<20
2021-06-22,1-6,<20
2021-06-22,7-12,<20
2021-06-22,13-30,<20
2021-06-22,30+,<20
2021-06-23,0,<20
2021-06-23,1-6,<20
2021-06-23,7-12,<20
2021-06-23,13-30,<20
2021-06-23,30+,<20
2021-06-24,0,<20
2021-06-24,1-6,<20
2021-06-24,7-12,<20
2021-06-24,13-30,<20
2021-06-24,30+,<20
2021-06-25,0,<20
2021-06-25,1-6,<20
2021-06-25,7-12,<20
2021-06-25,13-30,<20
2021-06-25,30+,<20
2021-06-26,0,<20
2021-06-26,1-6,<20
2021-06-26,7-12,<20
2021-06-26,13-30,<20
2021-06-26,30+,<20
2021-06-27,0,<20
2021-06-27,1-6,<20
2021-06-27,7-12,<20
2021-06-27,13-30,<20
2021-06-27,30+,<20
2021-06-28,0,<20
2021-06-28,1-6,<20
2021-06-28,7-12,<20
2021-06-28,13-30,<20
2021-06-28,30+,<20
2021-06-29,0,<20
2021-06-29,1-6,<20
2021-06-29,7-12,<20
2021-06-29,13-30,<20
2021-06-29,30+,<20
2021-06-30,0,<20
2021-06-30,1-6,<20
2021-06-30,7-12,<20
2021-06-30,13-30,<20
2021-06-30,30+,<20
2021-07-01,0,<20
2021-07-01,1-6,<20
2021-07-01,7-12,<20
2021-07-01,13-30,<20
2021-07-01,30+,<20
2021-07-02,0,<20
2021-07-02,1-6,<20
2021-07-02,7-12,<20
2021-07-02,13-30,<20
2021-07-02,30+,<20
2021-07-03,0,<20
2021-07-03,1-6,<20
2021-07-03,7-12,<20
2021-07-03,13-30,<20
2021-07-03,30+,<20
2021-07-04,0,<20
2021-07-04,1-6,<20
2021-07-04,7-12,<20
2021-07-04,13-30,<20
2021-07-04,30+,<20
2021-07-05,0,<20
2021-07-05,1-6,<20
2021-07-05,7-12,<20
2021-07-05,13-30,<20
2021-07-05,30+,<20
2021-07-06,0,<20
2021-07-06,1-6,<20
2021-07-06,7-12,<20
2021-07-06,13-30,<20
2021-07-06,30+,<20
2021-07-07,0,<20
2021-07-07,1-6,<20
2021-07-07,7-12,<20
2021-07-07,13-30,<20
2021-07-07,30+,<20
2021-07-08,0,<20
2021-07-08,1-6,<20
2021-07-08,7-12,<20
2021-07-08,13-30,<20
2021-07-08,30+,<20
2021-07-09,0,<20
2021-07-09,1-6,<20
2021-07-09,7-12,<20
2021-07-09,13-30,<20
2021-07-09,30+,<20
2021-07-10,0,<20
2021-07-10,1-6,<20
2021-07-10,7-12,<20
2021-07-10,13-30,<20
2021-07-10,30+,<20
2021-07-11,0,<20
2021-07-11,1-6,<20
2021-07-11,7-12,<20
2021-07-11,13-30,<20
2021-07-11,30+,<20
2021-07-12,0,<20
2021-07-12,1-6,<20
2021-07-12,7-12,<20
2021-07-12,13-30,<20
2021-07-12,30+,<20
2021-07-13,0,<20
2021-07-13,1-6,<20
2021-07-13,7-12,<20
2021-07-13,13-30,<20
2021-07-13,30+,<20
2021-07-14,0,<20
2021-07-14,1-6,<20
2021-07-14,7-12,<20
2021-07-14,13-30,<20
2021-07-14,30+,<20
2021-07-15,0,<20
2021-07-15,1-6,<20
2021-07-15,7-12,<20
2021-07-15,13-30,<20
2021-07-15,30+,<20
2021-07-16,0,<20
2021-07-16,1-6,<20
2021-07-16,7-12,<20
2021-07-16,13-30,<20
2021-07-16,30+,<20
2021-07-17,0,<20
2021-07-17,1-6,<20
2021-07-17,7-12,<20
2021-07-17,13-30,<20
2021-07-17,30+,<20
2021-07-18,0,<20
2021-07-18,1-6,<20
2021-07-18,7-12,<20
2021-07-18,13-30,<20
2021-07-18,30+,<20
2021-07-19,0,<20
2021-07-19,1-6,<20
2021-07-19,7-12,<20
2021-07-19,13-30,<20
2021-07-19,30+,<20
2021-07-20,0,<20
2021-07-20,1-6,<20
2021-07-20,7-12,<20
2021-07-20,13-30,<20
2021-07-20,30+,<20
2021-07-21,0,<20
2021-07-21,1-6,<20
2021-07-21,7-12,<20
2021-07-21,13-30,<20
2021-07-21,30+,<20
2021-07-22,0,<20
2021-07-22,1-6,<20
2021-07-22,7-12,<20
2021-07-22,13-30,<20
2021-07-22,30+,<20
2021-07-23,0,<20
2021-07-23,1-6,<20
2021-07-23,7-12,<20
2021-07-23,13-30,<20
2021-07-23,30+,<20
2021-07-24,0,<20
2021-07-24,1-6,<20
2021-07-24,7-12,<20
2021-07-24,13-30,<20
2021-07-24,30+,<20
2021-07-25,0,<20
2021-07-25,1-6,<20
2021-07-25,7-12,<20
2021-07-25,13-30,<20
2021-07-25,30+,<20
2021-07-26,0,<20
2021-07-26,1-6,<20
2021-07-26,7-12,<20
2021-07-26,13-30,<20
2021-07-26,30+,<20
2021-07-27,0,<20
2021-07-27,1-6,<20
2021-07-27,7-12,<20
2021-07-27,13-30,<20
2021-07-27,30+,<20
2021-07-28,0,<20
2021-07-28,1-6,<20
2021-07-28,7-12,<20
2021-07-28,13-30,<20
2021-07-28,30+,<20
